ear_left,ear_right,ear_mean,ear_asymmetry,mar,mouth_width,mouth_height,corner_lift_left,corner_lift_right,corner_asymmetry,com_mej_left,com_mej_right,com_mej_mean,com_mej_asymmetry,brow_h_left,brow_h_right,brow_h_mean,ba,brow_angle_left,brow_angle_right,nose_width,philtrum_len,nasolabial_mean,d_0_1,d_0_2,d_0_3,d_0_4,d_0_5,d_0_6,d_0_7,d_0_8,d_0_9,d_1_2,d_1_3,d_1_4,d_1_5,d_1_6,d_1_7,d_1_8,d_1_9,d_2_3,d_2_4,d_2_5,d_2_6,d_2_7,d_2_8,d_2_9,d_3_4,d_3_5,d_3_6,d_3_7,d_3_8,d_3_9,d_4_5,d_4_6,d_4_7,d_4_8,d_4_9,d_5_6,d_5_7,d_5_8,d_5_9,d_6_7,d_6_8,d_6_9,d_7_8,d_7_9,d_8_9,label
0.4819269,0.3383752,0.4101511,0.1435517,0.1070526,0.9349238,0.100086,0.0345415,0.051228,0.0166865,1.1603696,1.1618323,1.1611009,0.0014627,0.884937,0.9030243,0.8939807,0.0180874,1.2373096,1.3450406,0.5675243,0.6778937,0.4770832,1.0,0.884937,0.5151283,0.9143616,1.3881443,0.9644596,1.1081035,1.809752,1.0950472,0.5442285,0.9030243,0.8309117,0.9492837,1.3318414,1.0216613,1.0846307,1.8240039,0.5188678,0.7893981,1.371546,1.5142559,1.2775907,1.6041838,1.914766,0.8472001,1.5499765,1.3580194,1.3137386,1.9043792,1.590037,0.9642448,1.0074932,0.6778937,1.7682053,1.8433669,0.9349238,0.4804677,1.1603696,1.854109,0.571326,1.7916245,1.1618323,1.5403801,1.6366612,2.1143202,alegria
0.4383156,0.2921151,0.3652154,0.1462005,0.3920974,1.0314114,0.4044137,0.0946379,-0.1610286,0.2556665,1.2440228,1.2239934,1.2340081,0.0200293,0.8542155,0.8178292,0.8360223,0.0363863,1.1184932,0.7048478,0.5656723,0.5428484,0.5525017,1.0,0.8542155,0.4802446,0.9558891,1.4040552,0.9723351,1.0777939,1.6653898,1.0363567,0.4969856,0.8178292,0.8767151,0.9716236,1.4063678,0.9690126,0.9330032,1.8236201,0.4617764,0.8320868,1.3411503,1.5270401,1.1583726,1.3786791,1.8239736,0.8511684,1.476429,1.3274812,1.1712402,1.6420116,1.4850056,0.942436,1.0552624,0.5428484,1.7124951,1.8796066,1.0314114,0.5076858,1.2440228,1.9754612,0.7240378,1.8496014,1.2239934,1.5469495,1.7587374,2.0788755,alegria
0.4890875,0.3975113,0.4432994,0.0915762,0.2096631,0.6955649,0.1458343,0.0143348,0.0067311,0.0076037,1.2519306,1.2372349,1.2445828,0.0146957,0.9499788,0.8430566,0.8965177,0.1069222,1.2531285,1.3819201,0.4863039,0.6053877,0.4441132,1.0,0.9499788,0.554786,0.8385783,1.2608278,0.9482161,1.0140359,1.6451348,0.9535888,0.5093702,0.8430566,0.8385116,0.9987388,1.3023593,1.0520045,0.9294316,1.7191315,0.5232694,0.9070613,1.3999034,1.5419186,1.3370182,1.3723589,1.8018147,0.8773932,1.4824893,1.3745382,1.2964685,1.6576151,1.4415274,0.8370648,0.8502192,0.6053877,1.6263662,1.6696614,0.6955649,0.3864766,1.2519306,1.7082804,0.3971244,1.6980481,1.2372349,1.5070631,1.5182043,1.9446937,alegria
0.4426334,0.2445706,0.343602,0.1980628,0.2442672,1.1283471,0.2756182,-0.0017922,0.0835279,0.0853201,1.3081902,1.2969309,1.3025606,0.0112594,0.9080363,0.8627582,0.8853973,0.0452781,1.165223,1.5534949,0.5997466,0.7014022,0.5497945,1.0,0.9080363,0.5801089,0.9407143,1.4378305,0.957343,1.0826519,1.9204062,1.157788,0.554847,0.8627582,0.9805182,0.983604,1.4390788,1.1217172,1.1872406,1.9165496,0.4633652,0.9295899,1.4435667,1.6104912,1.363546,1.6859845,1.9866937,0.8670317,1.5893762,1.411715,1.319087,1.9759492,1.6957468,1.12182,1.0523275,0.7014022,2.0561198,1.9871851,1.1283471,0.6721867,1.3081902,2.0593976,0.5987201,2.0868917,1.2969309,1.8403229,1.7744693,2.3061798,alegria
0.455422,0.3379956,0.3967088,0.1174264,0.1006638,1.0790693,0.1086232,0.0645709,-0.0057421,0.0703129,1.2522325,1.31945,1.2858413,0.0672174,0.9176308,0.8820387,0.8998348,0.0355921,1.3856463,1.1532337,0.5469063,0.6964673,0.5306502,1.0,0.9176308,0.5558503,0.9723536,1.4405336,0.9920635,1.1410534,1.9114108,1.2479647,0.5367733,0.8820387,0.9139049,0.9739205,1.4195509,1.0929302,1.1643879,2.0120663,0.5121659,0.8391768,1.3836473,1.5887533,1.3163843,1.6743717,2.114265,0.8832264,1.5830492,1.4185768,1.3464248,1.983942,1.7759908,1.0275288,1.0805646,0.6964673,1.9353355,2.0742995,1.0790693,0.5770197,1.2522325,2.1175178,0.6377457,1.9983345,1.31945,1.7243699,1.8604184,2.3947842,alegria
0.4228892,0.2791226,0.3510059,0.1437666,0.2130831,1.1123632,0.2370258,0.0682199,0.060361,0.0078589,1.1803979,1.2348416,1.2076197,0.0544437,0.8990041,0.8443728,0.8716884,0.0546313,1.234697,1.3845754,0.6168944,0.6457541,0.5092301,1.0,0.8990041,0.5177416,0.9884056,1.3942393,0.9868097,1.1161486,1.8193204,1.1858697,0.510573,0.8443728,0.9616024,0.9599481,1.4745019,1.1085494,1.0838598,1.9537736,0.4966458,0.9115235,1.3465771,1.6135421,1.3102664,1.5726027,2.0234045,0.9048159,1.4993378,1.3904939,1.2885801,1.8583978,1.6788638,0.9787002,1.0933823,0.6457541,1.865529,2.0156432,1.1123632,0.5709848,1.1803979,2.037513,0.6845697,1.9548813,1.2348416,1.6536532,1.7976083,2.2737608,alegria
0.4796834,0.3023605,0.391022,0.1773229,0.2784385,0.7520217,0.2093918,0.038284,-0.0242794,0.0625635,1.3726847,1.3260656,1.3493751,0.0466191,0.8550595,0.8442686,0.849664,0.0107909,1.4352868,1.196501,0.483101,0.5711549,0.4269607,1.0,0.8550595,0.4849176,0.884951,1.2202584,0.8885909,1.0339206,1.7996632,0.9662884,0.4868297,0.8442686,0.9317987,0.8813762,1.257444,1.053147,1.003267,1.7442003,0.4859473,0.8309169,1.1906783,1.3610192,1.1882076,1.440151,1.7348689,0.7985082,1.3197632,1.2023107,1.1713599,1.7725306,1.4030473,0.8462793,0.8368273,0.5711549,1.8639811,1.7771001,0.7520217,0.4502147,1.3726847,1.8170149,0.4528755,1.8986443,1.3260656,1.7520431,1.6894176,2.1703852,alegria
0.5224953,0.2832234,0.4028593,0.2392719,0.4441052,0.8181314,0.3633364,0.0594111,0.0060641,0.053347,1.4655911,1.3504478,1.4080194,0.1151432,0.9137539,0.8746253,0.8941896,0.0391286,1.4445758,1.2354239,0.4907769,0.6243412,0.5196068,1.0,0.9137539,0.5691394,0.8624724,1.3239127,0.9972374,1.0098266,1.9520495,1.0452028,0.5459911,0.8746253,0.9765545,1.0125598,1.3795524,1.1455439,1.184547,1.7850929,0.4911224,0.9519496,1.4357508,1.5971569,1.364446,1.6594598,1.8463433,0.8432641,1.5293781,1.4242438,1.2747855,1.9908901,1.5551166,1.0084275,0.9499642,0.6243412,2.057197,1.8131499,0.8181314,0.5949968,1.4655911,1.861051,0.4286841,2.0475189,1.3504478,1.9324311,1.6467076,2.2524018,alegria
0.3517535,0.0385478,0.1951507,0.3132057,0.5728701,0.9448545,0.5412789,-0.0012123,0.0385087,0.039721,1.3970603,1.3456576,1.3713589,0.0514028,0.8227488,0.8446702,0.8337095,0.0219214,1.263248,1.4517073,0.5606958,0.6269862,0.6114142,1.0,0.8227488,0.5016861,0.936128,1.4514129,1.0622333,1.0841688,1.7951238,0.9976983,0.522666,0.8446702,0.9828543,1.0886126,1.447685,1.1268737,1.0124874,1.7681625,0.4328267,0.8816454,1.4521671,1.5631649,1.2708214,1.4901136,1.7437061,0.8601754,1.5805966,1.4198266,1.2519887,1.7821078,1.4569415,1.0724346,1.0303654,0.6269862,1.9049564,1.8347676,0.9448545,0.6119928,1.3970603,1.9641628,0.5505836,1.9980317,1.3456576,1.7830694,1.7007126,2.1642017,alegria
0.5602453,0.3437595,0.4520024,0.2164858,0.1324276,1.0010541,0.1325672,0.0759222,0.0064066,0.0695156,1.3436673,1.3173783,1.3305228,0.0262891,0.840868,0.8981809,0.8695244,0.0573129,1.541001,1.1164744,0.6018909,0.6900354,0.53115,1.0,0.840868,0.5316052,0.9768258,1.49039,1.1452665,1.2027255,1.8767433,1.0409125,0.5447337,0.8981809,1.0152995,1.0607277,1.4854408,1.1951795,1.1157316,1.7625385,0.4675776,0.9772274,1.485046,1.6495491,1.4179143,1.6112046,1.8020475,0.9748536,1.6677599,1.5383399,1.4399849,1.9324419,1.5418754,1.0786242,0.9997806,0.6900354,1.9941368,1.8248486,1.0010541,0.6164015,1.3436673,1.9011627,0.5213739,2.0577816,1.3173783,1.8250442,1.6715134,2.1542703,alegria
